// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1/" /p:OutDir="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\publish/" in D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1
// command took 1.11 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1/" /p:OutDir="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\publish/" --output "D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\bin\Release\net10.0/" in D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1
// command took 6.17 sec and exited with 0
// ***** Done, took 00:00:07 (7.34 sec)   *****
// Found 3 benchmarks:
//   MappingBenchmarks.ManualMapping: DefaultJob [Count=100000]
//   MappingBenchmarks.AutoMapperMapping: DefaultJob [Count=100000]
//   MappingBenchmarks.MapperlyMapping: DefaultJob [Count=100000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: MappingBenchmarks.ManualMapping: DefaultJob [Count=100000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet AutoMapperVsMapperly-DefaultJob-1.dll --anonymousPipes 1372 1404 --benchmarkName "AutoMapperVsMapperly.MappingBenchmarks.ManualMapping(Count: 100000)" --job Default --benchmarkId 0 in D:\projects\AutoMapperVsMapperly\AutoMapperVsMapperly\bin\Release\net10.0\AutoMapperVsMapperly-DefaultJob-1\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.6
// Runtime=.NET 10.0.0 (10.0.0, 10.0.25.52411), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 191700.00 ns, 191.7000 us/op
WorkloadJitting  1: 1 op, 27731400.00 ns, 27.7314 ms/op

OverheadJitting  2: 16 op, 929600.00 ns, 58.1000 us/op
WorkloadJitting  2: 16 op, 662086400.00 ns, 41.3804 ms/op

WorkloadPilot    1: 16 op, 619521000.00 ns, 38.7201 ms/op

OverheadWarmup   1: 16 op, 1400.00 ns, 87.5000 ns/op
OverheadWarmup   2: 16 op, 12500.00 ns, 781.2500 ns/op
OverheadWarmup   3: 16 op, 1400.00 ns, 87.5000 ns/op
OverheadWarmup   4: 16 op, 1300.00 ns, 81.2500 ns/op
OverheadWarmup   5: 16 op, 1600.00 ns, 100.0000 ns/op
OverheadWarmup   6: 16 op, 1400.00 ns, 87.5000 ns/op

OverheadActual   1: 16 op, 1500.00 ns, 93.7500 ns/op
OverheadActual   2: 16 op, 1700.00 ns, 106.2500 ns/op
OverheadActual   3: 16 op, 1500.00 ns, 93.7500 ns/op
OverheadActual   4: 16 op, 1900.00 ns, 118.7500 ns/op
OverheadActual   5: 16 op, 1300.00 ns, 81.2500 ns/op
OverheadActual   6: 16 op, 1600.00 ns, 100.0000 ns/op
OverheadActual   7: 16 op, 1500.00 ns, 93.7500 ns/op
OverheadActual   8: 16 op, 1600.00 ns, 100.0000 ns/op
OverheadActual   9: 16 op, 1100.00 ns, 68.7500 ns/op
OverheadActual  10: 16 op, 1600.00 ns, 100.0000 ns/op
OverheadActual  11: 16 op, 2500.00 ns, 156.2500 ns/op
